Name,Age,Hometown,Boarded,Position,Lifeboat,Body
"Abrams, Mr. William",33,"Southampton, Hampshire, England",Southampton,Fireman/Stoker,,
"Adams, Mr. R.",26,"Southampton, Hampshire, England",Southampton,Fireman/Stoker,,
"Allen, Mr. Henry",32,"Southampton, Hampshire, England",Southampton,Fireman/Stoker,,145MB
"Allen, Mr. Ernest Frederick",24,"Southampton, Hampshire, England",Southampton,Trimmer,B,
"Allsop, Mr. Alfred Samuel",34,"Southampton, Hampshire, England",Belfast,Electrician,,
"Avery, Mr. James Frank",22,"Southampton, Hampshire, England",Southampton,Trimmer,15,
"Bailey, Mr. George W.",46,"Woolston, Hampshire, England",Southampton,Fireman/Stoker,,
"Baines, Mr. Richard",24,"Southampton, Hampshire, England",Southampton,Greaser,,
"Bannon, Mr. John",32,"Southampton, Hampshire, England",Southampton,Greaser,,
"Barlow, Mr. Charles",30,"Southampton, Hampshire, England",Southampton,Fireman/Stoker,,
"Barnes, Mr. Charles",29,"Southampton, Hampshire, England",Southampton,Fireman/Stoker,,
"Barnes, Mr. Frederick",29,"Woolston, Hampshire, England",Southampton,Fireman/Stoker,,
"Barrett, Mr. Frederick",28,"Southampton, Hampshire, England",Southampton,Leading Fireman,13,
"Barrett, Mr. Frederick William",33,"Southampton, Hampshire, England",Southampton,Fireman/Stoker,,
"Beattie, Mr. Joseph",34,"Southampton, Hampshire, England",Belfast,Greaser,,
"Beauchamp, Mr. George William",24,"Southampton, Hampshire, England",Southampton,Fireman/Stoker,13,
"Bell, Mr. Joseph",50,"Southampton, Hampshire, England",Belfast,Chief Engineer,,
"Bendell, Mr. F.",24,"Southampton, Hampshire, England",Southampton,Fireman/Stoker,,
"Bennett, Mr. George Alfred",30,"Southampton, Hampshire, England",Southampton,Fireman/Stoker,,
"Benville, Mr. E.",42,"Southampton, Hampshire, England",Southampton,Fireman/Stoker,,
"Bessant, Mr. William Edward",39,"Southampton, Hampshire, England",Southampton,Fireman/Stoker,,
"Bevis, Mr. Joseph Henry",22,"Southampton, Hampshire, England",Southampton,Trimmer,,
"Biddlecombe, Mr. Charles",33,"Southampton, Hampshire, England",Southampton,Fireman/Stoker,
"Biggs, Mr. Edward Charles",21,"Southampton, Hampshire, England",Southampton,Fireman/Stoker,,
"Billow, Mr. J.",20,"Southampton, Hampshire, England",Southampton,Trimmer,,
"Binstead, Mr. Walter",19,"Southampton, Hampshire, England",Southampton,Trimmer,3,
"Black, Mr. Alexander",28,"Southampton, Hampshire, England",Southampton,Fireman/Stoker,,
"Black, Mr. D.",41,"Southampton, Hampshire, England",Southampton,Fireman/Stoker,,
"Blackman, Mr. H.",24,"Southampton, Hampshire, England",Southampton,Fireman/Stoker,,
"Blake, Mr. Percival Albert",22,"Southampton, Hampshire, England",Southampton,Trimmer,15,
"Blake, Mr. Seaton",26,"Southampton, Hampshire, England",Southampton,Mess Steward,,
"Blake, Mr. Thomas",36,"Southampton, Hampshire, England",Southampton,Fireman/Stoker,,
"Blaney, Mr. James",29,"Southampton, Hampshire, England",Southampton,Fireman/Stoker,,
"Blann, Mr. Eustace Horatius",21,"Southampton, Hampshire, England",Southampton,Fireman/Stoker,,
"Bott, Mr. W.",44,"Southampton, Hampshire, England",Southampton,Greaser,,
"Bradley, Mr. Patrick Joseph",39,"Southampton, Hampshire, England",Southampton,Fireman/Stoker,,
"Brewer, Mr. Henry ""Harry""",30,"Southampton, Hampshire, England",Southampton,Trimmer,,
"Briant, Mr. Albert",34,"Southampton, Hampshire, England",Southampton,Greaser,,
"Brooks, Mr. J.",25,"Southampton, Hampshire, England",Southampton,Trimmer,,
"Brown, Mr. John",25,"Southampton, Hampshire, England",Southampton,Fireman/Stoker,,267MB
"Brown, Mr. Joseph James",25,"Eastleigh, Hampshire, England",Southampton,Fireman/Stoker,,
"Burroughs, Mr. Arthur",35,"Southampton, Hampshire, England",Southampton,Fireman/Stoker,,
"Burton, Mr. Edward John",32,"Southampton, Hampshire, England",Southampton,Fireman/Stoker,,
"Butt, Mr. William John",30,"Freemantle, Hampshire, England",Southampton,Fireman/Stoker,,77MB
"Calderwood, Mr. Hugh",30,"Belfast, Ireland",Belfast,Trimmer,,
"Canner, Mr. J.",40,"Woolston, Hampshire, England",Southampton,Fireman/Stoker,,
"Carr, Mr. Richard Stephen",37,"Southampton, Hampshire, England",Southampton,Trimmer,,
"Carter, Mr. James",46,"Southampton, Hampshire, England",Southampton,Fireman/Stoker,,
"Casey, Mr. T.",28,"Southampton, Hampshire, England",Southampton,Trimmer,,
"Castleman, Mr. Edward",37,"Southampton, Hampshire, England",Southampton,Greaser,,78[?]MB
"Cavell, Mr. George Henry",22,"Sholing Hampshire, England",Southampton,Trimmer,15,
"Cherrett, Mr. William Victor",24,"Southampton, Hampshire, England",Southampton,Fireman/Stoker,,
"Chisnall, Mr. George Alexander",36,"Itchen, Hampshire, England",Belfast,Boilermaker,,111MB
"Chorley, Mr. John",25,"Southampton, Hampshire, England",Southampton,Fireman/Stoker,,
"Clark, Mr. William",39,"Southampton, Hampshire, England",Southampton,Fireman/Stoker,15,
