Name,Age,Hometown,Boarded,Position,Lifeboat,Body
"Abbott, Mr. Ernest Owen",21,"Southampton, Hampshire, England",Southampton,First Class Lounge Pantry Steward,,
"Ahier, Mr. Percy Snowden",20,"Southampton, Hampshire, England",Southampton,First Class Saloon Steward,,
"Akerman, Mr. Albert",28,"Southampton, Hampshire, England",Southampton,Third Class Steward,,
"Akerman, Mr. Joseph Francis",35,"Southampton, Hampshire, England",Southampton,Asst. Pantry Steward,,205MB
"Allan, Mr. Robert Spencer",36,"Shirley, Hampshire, England",Southampton,First Class Bedroom Steward,,
"Allen, Mr. George",26,"Southampton, Hampshire, England",Southampton,Scullion,,
"Allen, Mr. Frederick",17,"Southampton, Hampshire, England",Southampton,Lift Steward,,
"Allsop, Mr. Frank Richard",41,"Southampton, Hampshire, England",Southampton,Bedroom Steward,,
"Anderson, Mr. Walter J.",48,"Southampton, Hampshire, England",Southampton,Bedroom Steward,,146MB
"Andrews, Mr. Charles Edward",19,"Southampton, Hampshire, England",Southampton,Assistant Second Class Saloon Steward,16,
"Ashcroft, Mr. Austin Aloysius",26,"Seacombe, Cheshire, England",Southampton,Clerk,,
"Ashe, Mr. Henry Wellesley",32,"Liverpool, Lancashire, England",Southampton,Glory Hole Steward,,34MB
"Ayling, Mr. George Edwin",22,"Southampton, Hampshire, England",Southampton,Assistant Vegetable Cook,,
"Back, Mr. Charles Frederick",32,"Southampton, Hampshire, England",Belfast,Assistant Lounge Steward,,
"Baggott, Mr. Allen Marden",28,"Itchen, Hampshire, England",Southampton,First Class Saloon Steward,9,
"Bagley, Mr. Edward Ernest",31,"Southampton, Hampshire, England",Southampton,First Class Saloon Steward,,
"Bailey, Mr. George Francis",36,"Shepperton, London, England",Belfast,Second Class Saloon Steward,,161MB
"Ball, Mr. Percy",19,"Southampton, Hampshire, England",Southampton,First Class Plate Steward,13,
"Barker, Mr. Albert Vale",19,"Winchester, Hampshire, England",Southampton,Assistant Baker,,
"Barker, Mr. Ernest T.",37,"London, England",Southampton,First Class Saloon Steward,,159MB
"Barker, Mr. Reginald Lomond",40,"Southampton, Hampshire, England",Belfast,Assistant Purser,,
"Barlow, Mr. George",36,"Southampton, Hampshire, England",Southampton,Second Class Bedroom Steward,,
"Barnes, Mr. Frederick",37,"Southampton, Hampshire, England",Southampton,Assistant Baker,,26MB[20]
"Barratt, Mr. Arthur",15,"Southampton, Hampshire, England",Southampton,Bell Boy,,
"Barringer, Mr. Arthur William",33,"Southampton, Hampshire, England",Belfast,First Class Saloon Steward,,
"Barrow, Mr. Harry",35,"Southampton, Hampshire, England",Southampton,Assistant Butcher,,
"Barrows, Mr. William",32,"London, England",Southampton,First Class Saloon Steward,,
"Barton, Mr. Sidney John",25,"Southampton, Hampshire, England",Southampton,Third Class Steward,,
"Baxter, Mr. Harry Ross",51,"Southampton, Hampshire, England",Southampton,Third Class Steward,,
"Baxter, Mr. Thomas Ferguson",48,"Southampton, Hampshire, England",Southampton,Linen Steward,,235MB
"Bedford, Mr. William Barnet",31,"Itchen, Hampshire, England",Southampton,Assistant Roast Cook,,
"Beedem, Mr. George Arthur",34,"London, England",Southampton,Second Class Bedroom Steward,,
"Beere, Mr. William",19,"Southampton, Hampshire, England",Southampton,Kitchen Porter,,
"Benham, Mr. Frederick",29,"Southampton, Hampshire, England",Southampton,Second Class Saloon Steward,,
"Bennett, Mrs. Mabel",30,"Southampton, Hampshire, England",Southampton,First Class Stewardess,5,
