,Name,Hometown,Fare,Pclass,GDP_Per_Capita
0,"Barkworth, Mr. Algernon Henry Wilson","Hessle, East Yorkshire, England, UK",30.0,1,4611
1,"Borebank, Mr. John James","London, England, UK",26.55,1,4611
2,"Case, Mr. Howard Brown","Ascot, Berkshire, England, UK",26.0,1,4611
3,"Cavendish, Mr. Tyrell William","London, England, UK",78.85,1,4611
4,"Colley, Mr. Edward Pomeroy","Dublin, Ireland, UK[note 1]",25.5875,1,4611
5,"Frauenthal, Dr. Henry William","London, England, UK",133.65,1,4611
6,"Frauenthal, Mr. Isaac Gerald","London, England, UK",27.7208,1,4611
7,"Hawksford, Mr. Walter James","Kingston, Surrey, England, UK",30.0,1,4611
8,"Head, Mr. Christopher","Chelsea, London, England, UK",42.5,1,4611
9,"Hipkins, Mr. William Edward","Birmingham, West Midlands, England, UK",50.0,1,4611
10,"Ismay, Mr. Joseph Bruce","Liverpool, Merseyside, England, UK",0.0,1,4611
11,"Julian, Mr. Henry Forbes","Torquay, Devon, England, UK",26.0,1,4611
12,"Loring, Mr. Joseph Holland","London, England, UK",45.5,1,4611
13,"Nicholson, Mr. Arthur Ernest","Shanklin, Isle of Wight, England, UK",26.0,1,4611
14,"Pears, Mr. Thomas Clinton","Isleworth, London, England, UK",66.6,1,4611
15,"Saalfeld, Mr. Adolphe","Manchester, England, UK",30.5,1,4611
16,"Smart, Mr. John Montgomery","Kildale, North Yorkshire, England, UK",26.55,1,4611
17,"Smith, Mr. Richard William","Streatham, London, England, UK",26.0,1,4611
18,"Stead, Mr. William Thomas","London, England, UK",26.55,1,4611
19,"Taylor, Mr. Elmer Zebley","London, England, UK",52.0,1,4611
20,"Woolner, Mr. Hugh","London, England, UK",35.5,1,4611
21,"Beauchamp, Mr. Henry James","London, England, UK",26.0,2,4611
22,"Beesley, Mr. Lawrence","London, England, UK",13.0,2,4611
23,"Brown, Mr. Thomas William Solomon","Cape Town, South Africa, UK[note 4]",39.0,2,4611
24,"Deacon, Mr. Percy William","Fritham, Hampshire, England, UK",73.5,2,4611
25,"Fillbrook, Mr. Joseph Charles","Truro, Cornwall, England, UK",10.5,2,4611
26,"Gale, Mr. Harry","Harrowbarrow, Cornwall, England, UK",21.0,2,4611
27,"Gale, Mr. Shadrach","Harrowbarrow, Cornwall, England, UK",21.0,2,4611
28,"Blackwell, Mr. Stephen Weart","Trenton, New Jersey, US",35.5,1,4964
